region,polling_unit_id,date,registered_voters,accredited_voters,votes_cast,invalid_votes,voting_start_time,voting_end_time,device_status,network_status,incidents_reported,expected_staff,staff_present,result_uploaded,upload_delay_minutes
Abuja,PU_2583,2026-03-28,687,529,510,33,2026-06-21 09:11:00,2026-06-21 16:23:00,Working,Good,1,7,6,1,93.0
Rivers,PU_2584,2026-03-28,1999,1331,1140,33,2026-06-21 09:51:00,2026-06-21 16:54:00,Working,Good,0,8,7,1,138.0
Abuja,PU_2585,2026-03-28,661,560,517,25,2026-06-21 08:58:00,2026-06-21 15:31:00,Working,Poor,0,7,5,1,39.0
Kano,PU_2586,2026-03-28,628,402,368,5,2026-06-21 09:50:00,2026-06-21 15:55:00,Working,Good,2,9,7,0,
Lagos,PU_2587,2026-03-28,803,709,673,25,2026-06-21 08:18:00,2026-06-21 16:26:00,Working,Offline,2,9,8,1,13.0
Lagos,PU_2588,2026-03-28,1612,1190,1041,34,2026-06-21 09:06:00,2026-06-21 15:22:00,Working,Offline,0,9,7,1,24.0
Lagos,PU_2589,2026-03-28,1416,1173,1103,22,2026-06-21 08:39:00,2026-06-21 16:05:00,Faulty,Poor,1,8,7,1,62.0
Abuja,PU_2590,2026-03-28,1685,1214,1148,26,2026-06-21 08:22:00,2026-06-21 16:48:00,Working,Poor,3,5,3,0,
Abuja,PU_2591,2026-03-28,1421,1185,1011,9,2026-06-21 08:15:00,2026-06-21 16:06:00,Working,Poor,1,7,7,1,54.0
Lagos,PU_2592,2026-03-28,1559,1420,1286,35,2026-06-21 09:53:00,2026-06-21 16:36:00,Working,Good,0,9,9,1,128.0
Abuja,PU_2593,2026-03-28,1750,1479,1445,29,2026-06-21 09:49:00,2026-06-21 15:04:00,Working,Poor,1,9,8,0,
Kaduna,PU_2594,2026-03-28,650,542,481,33,2026-06-21 08:27:00,2026-06-21 15:22:00,Working,Good,1,7,5,1,69.0
Kaduna,PU_2595,2026-03-28,1092,944,910,38,2026-06-21 09:29:00,2026-06-21 15:50:00,Working,Good,1,9,8,0,
Abuja,PU_2596,2026-03-28,546,423,391,32,2026-06-21 08:49:00,2026-06-21 15:24:00,Working,Good,0,7,7,0,
Lagos,PU_2597,2026-03-28,1439,974,865,8,2026-06-21 08:11:00,2026-06-21 15:23:00,Working,Good,1,7,5,1,169.0
Abuja,PU_2598,2026-03-28,1159,1026,983,0,2026-06-21 08:43:00,2026-06-21 15:29:00,Working,Poor,1,5,4,0,
Abuja,PU_2599,2026-03-28,730,603,590,32,2026-06-21 09:27:00,2026-06-21 15:50:00,Faulty,Good,1,5,5,0,
Abuja,PU_2600,2026-03-28,1501,1065,1007,6,2026-06-21 09:54:00,2026-06-21 15:29:00,Faulty,Good,2,7,5,0,
Kano,PU_2601,2026-03-28,664,462,396,8,2026-06-21 09:52:00,2026-06-21 16:11:00,Working,Good,0,6,5,0,
Kaduna,PU_2602,2026-03-28,1223,947,811,15,2026-06-21 09:17:00,2026-06-21 15:45:00,Working,Poor,1,6,6,1,78.0
Rivers,PU_2603,2026-03-28,1319,887,810,29,2026-06-21 08:17:00,2026-06-21 16:52:00,Working,Good,0,7,6,1,69.0
Rivers,PU_2604,2026-03-28,1589,1441,1225,17,2026-06-21 09:47:00,2026-06-21 16:39:00,Faulty,Good,1,7,5,0,
Kano,PU_2605,2026-03-28,1603,1404,1316,23,2026-06-21 08:59:00,2026-06-21 15:56:00,Working,Poor,1,8,7,0,
Abuja,PU_2606,2026-03-28,639,452,385,13,2026-06-21 08:39:00,2026-06-21 15:28:00,Working,Good,1,8,6,1,66.0
Kano,PU_2607,2026-03-28,899,554,540,45,2026-06-21 09:26:00,2026-06-21 16:24:00,Faulty,Good,1,6,5,1,149.0
Kano,PU_2608,2026-03-28,629,388,374,28,2026-06-21 08:14:00,2026-06-21 16:19:00,Working,Poor,0,5,3,1,64.0
Lagos,PU_2609,2026-03-28,1484,1044,998,36,2026-06-21 08:53:00,2026-06-21 16:57:00,Working,Good,0,8,7,0,
Kaduna,PU_2610,2026-03-28,1265,824,787,37,2026-06-21 09:06:00,2026-06-21 16:01:00,Working,Good,0,5,3,0,
Rivers,PU_2611,2026-03-28,945,855,819,18,2026-06-21 09:02:00,2026-06-21 16:26:00,Working,Good,0,6,6,1,115.0
Abuja,PU_2612,2026-03-28,528,394,357,5,2026-06-21 08:54:00,2026-06-21 15:28:00,Faulty,Good,1,9,9,1,124.0
Rivers,PU_2613,2026-03-28,1725,1245,1186,4,2026-06-21 08:39:00,2026-06-21 15:36:00,Working,Good,0,8,8,1,36.0
Rivers,PU_2614,2026-03-28,1760,1190,1068,10,2026-06-21 08:09:00,2026-06-21 16:29:00,Faulty,Good,2,7,6,1,5.0
Kaduna,PU_2615,2026-03-28,1298,1160,1113,6,2026-06-21 08:54:00,2026-06-21 16:48:00,Working,Good,1,7,6,1,140.0
Rivers,PU_2616,2026-03-28,1862,1633,1519,9,2026-06-21 09:35:00,2026-06-21 16:27:00,Working,Poor,1,8,8,1,25.0
Rivers,PU_2617,2026-03-28,1922,1411,1265,17,2026-06-21 08:08:00,2026-06-21 15:39:00,Working,Good,0,7,7,1,41.0
Kano,PU_2618,2026-03-28,1962,1293,1224,39,2026-06-21 09:12:00,2026-06-21 15:54:00,Working,Poor,2,8,6,1,85.0
Kaduna,PU_2619,2026-03-28,788,735,647,32,2026-06-21 09:02:00,2026-06-21 15:25:00,Working,Good,2,8,8,0,
Lagos,PU_2620,2026-03-28,1775,1261,1229,14,2026-06-21 09:48:00,2026-06-21 16:48:00,Faulty,Offline,1,5,5,1,3.0
Abuja,PU_2621,2026-03-28,1476,1283,1201,10,2026-06-21 09:00:00,2026-06-21 15:26:00,Working,Good,0,8,8,1,43.0
Rivers,PU_2622,2026-03-28,599,456,411,17,2026-06-21 08:58:00,2026-06-21 16:14:00,Working,Good,2,8,7,1,36.0
Abuja,PU_2623,2026-03-28,921,804,740,28,2026-06-21 09:49:00,2026-06-21 15:50:00,Faulty,Good,2,7,6,1,43.0
Lagos,PU_2624,2026-03-28,1142,877,829,2,2026-06-21 09:25:00,2026-06-21 16:30:00,Working,Good,1,6,6,1,29.0
Abuja,PU_2625,2026-03-28,1193,1102,1050,29,2026-06-21 09:05:00,2026-06-21 16:49:00,Working,Good,0,7,6,0,
Lagos,PU_2626,2026-03-28,1205,1060,1035,12,2026-06-21 09:02:00,2026-06-21 16:58:00,Working,Good,2,6,5,1,30.0
Kano,PU_2627,2026-03-28,517,357,313,25,2026-06-21 08:44:00,2026-06-21 15:21:00,Working,Good,1,7,5,1,13.0
Rivers,PU_2628,2026-03-28,970,728,666,18,2026-06-21 08:32:00,2026-06-21 16:04:00,Working,Good,1,5,3,1,81.0
Lagos,PU_2629,2026-03-28,1222,776,668,10,2026-06-21 09:35:00,2026-06-21 15:37:00,Working,Good,1,9,7,1,43.0
Abuja,PU_2630,2026-03-28,1530,1401,1205,4,2026-06-21 09:14:00,2026-06-21 16:30:00,Working,Good,0,9,9,1,171.0
Rivers,PU_2631,2026-03-28,918,573,494,24,2026-06-21 09:59:00,2026-06-21 15:00:00,Faulty,Poor,1,6,5,0,
Kano,PU_2632,2026-03-28,879,533,471,28,2026-06-21 08:25:00,2026-06-21 15:14:00,Faulty,Good,1,6,5,1,29.0
Rivers,PU_2633,2026-03-28,1007,779,732,21,2026-06-21 08:29:00,2026-06-21 15:10:00,Working,Poor,1,7,7,1,179.0
Lagos,PU_2634,2026-03-28,613,497,478,44,2026-06-21 08:15:00,2026-06-21 15:55:00,Working,Good,1,9,8,1,59.0
Kano,PU_2635,2026-03-28,1351,916,830,24,2026-06-21 09:20:00,2026-06-21 15:37:00,Working,Offline,0,9,8,0,
Abuja,PU_2636,2026-03-28,1010,807,744,31,2026-06-21 09:28:00,2026-06-21 16:32:00,Working,Poor,2,6,4,1,81.0
Kano,PU_2637,2026-03-28,1350,1233,1081,34,2026-06-21 09:27:00,2026-06-21 15:53:00,Working,Offline,0,8,6,1,16.0
Kano,PU_2638,2026-03-28,1475,1208,1151,16,2026-06-21 08:55:00,2026-06-21 16:33:00,Working,Poor,3,5,5,0,
Kaduna,PU_2639,2026-03-28,1113,845,815,25,2026-06-21 08:09:00,2026-06-21 15:22:00,Working,Good,0,7,6,1,102.0
Kano,PU_2640,2026-03-28,968,629,574,2,2026-06-21 08:57:00,2026-06-21 16:45:00,Working,Good,0,7,6,1,27.0
Kano,PU_2641,2026-03-28,592,390,339,35,2026-06-21 08:04:00,2026-06-21 16:29:00,Working,Good,1,8,6,1,83.0
Rivers,PU_2642,2026-03-28,1625,1250,1063,32,2026-06-21 08:28:00,2026-06-21 15:36:00,Working,Offline,0,5,3,1,38.0
Abuja,PU_2643,2026-03-28,992,755,694,30,2026-06-21 08:38:00,2026-06-21 15:50:00,Working,Good,0,9,8,1,31.0
Rivers,PU_2644,2026-03-28,1262,987,902,6,2026-06-21 09:47:00,2026-06-21 16:00:00,Working,Good,1,6,6,0,
Rivers,PU_2645,2026-03-28,1488,1157,1122,19,2026-06-21 09:51:00,2026-06-21 16:21:00,Working,Good,2,6,4,1,115.0
Lagos,PU_2646,2026-03-28,978,703,600,45,2026-06-21 08:15:00,2026-06-21 16:18:00,Working,Poor,0,6,6,1,85.0
Rivers,PU_2647,2026-03-28,1376,1160,1008,42,2026-06-21 09:25:00,2026-06-21 16:43:00,Working,Good,0,7,7,1,103.0
Kaduna,PU_2648,2026-03-28,666,449,393,18,2026-06-21 08:40:00,2026-06-21 15:21:00,Working,Good,1,5,5,1,65.0
Kaduna,PU_2649,2026-03-28,639,574,528,44,2026-06-21 09:51:00,2026-06-21 16:05:00,Working,Offline,0,6,4,1,159.0
Lagos,PU_2650,2026-03-28,593,396,351,39,2026-06-21 08:43:00,2026-06-21 16:56:00,Working,Good,1,8,8,1,107.0
Abuja,PU_2651,2026-03-28,1704,1270,1113,4,2026-06-21 08:36:00,2026-06-21 15:54:00,Working,Good,1,7,6,0,
Abuja,PU_2652,2026-03-28,1075,724,663,31,2026-06-21 08:08:00,2026-06-21 16:06:00,Working,Poor,1,7,5,1,143.0
Rivers,PU_2653,2026-03-28,1527,1246,1065,49,2026-06-21 08:33:00,2026-06-21 15:25:00,Working,Good,0,9,7,1,85.0
Rivers,PU_2654,2026-03-28,1105,847,827,45,2026-06-21 09:04:00,2026-06-21 16:32:00,Working,Poor,0,5,5,1,130.0
Rivers,PU_2655,2026-03-28,1912,1397,1343,16,2026-06-21 09:21:00,2026-06-21 16:59:00,Working,Good,1,9,8,0,
Abuja,PU_2656,2026-03-28,1795,1375,1217,43,2026-06-21 08:18:00,2026-06-21 16:32:00,Working,Offline,1,6,4,1,0.0
Kano,PU_2657,2026-03-28,1655,1237,1105,7,2026-06-21 08:49:00,2026-06-21 15:37:00,Working,Poor,2,8,6,0,
Kaduna,PU_2658,2026-03-28,1083,973,858,34,2026-06-21 09:20:00,2026-06-21 15:49:00,Working,Poor,0,7,5,1,149.0
Kano,PU_2659,2026-03-28,1315,846,821,5,2026-06-21 08:38:00,2026-06-21 15:22:00,Faulty,Offline,0,7,5,1,152.0
Kano,PU_2660,2026-03-28,1092,958,895,43,2026-06-21 09:24:00,2026-06-21 15:52:00,Working,Good,2,8,8,0,
Abuja,PU_2661,2026-03-28,1185,982,901,48,2026-06-21 08:15:00,2026-06-21 15:38:00,Working,Good,2,7,5,0,
Kano,PU_2662,2026-03-28,1462,1055,966,3,2026-06-21 08:33:00,2026-06-21 15:22:00,Working,Good,1,8,8,1,35.0
Lagos,PU_2663,2026-03-28,1486,1369,1193,33,2026-06-21 08:46:00,2026-06-21 16:31:00,Working,Good,1,8,7,0,
Rivers,PU_2664,2026-03-28,1575,1042,1016,0,2026-06-21 09:23:00,2026-06-21 16:51:00,Working,Good,2,5,3,1,57.0
Lagos,PU_2665,2026-03-28,1813,1284,1244,27,2026-06-21 09:54:00,2026-06-21 16:38:00,Working,Good,0,8,7,1,72.0
Kaduna,PU_2666,2026-03-28,945,690,671,26,2026-06-21 08:37:00,2026-06-21 16:05:00,Working,Offline,1,7,5,1,83.0
Rivers,PU_2667,2026-03-28,736,608,539,49,2026-06-21 09:06:00,2026-06-21 16:46:00,Working,Good,3,8,7,1,23.0
Kano,PU_2668,2026-03-28,1803,1679,1531,20,2026-06-21 09:13:00,2026-06-21 15:27:00,Working,Good,3,7,5,1,158.0
Kaduna,PU_2669,2026-03-28,1567,1265,1160,24,2026-06-21 08:31:00,2026-06-21 15:59:00,Faulty,Good,1,5,5,1,94.0
Rivers,PU_2670,2026-03-28,1381,1242,1134,23,2026-06-21 08:43:00,2026-06-21 16:55:00,Working,Good,0,9,9,1,110.0
Kano,PU_2671,2026-03-28,1265,1159,988,27,2026-06-21 09:02:00,2026-06-21 16:27:00,Faulty,Good,1,5,3,1,39.0
Lagos,PU_2672,2026-03-28,1436,1096,1050,1,2026-06-21 09:12:00,2026-06-21 16:06:00,Working,Offline,1,9,8,1,165.0
Rivers,PU_2673,2026-03-28,858,656,621,6,2026-06-21 09:58:00,2026-06-21 15:09:00,Working,Good,0,6,6,1,120.0
Kano,PU_2674,2026-03-28,1145,787,717,10,2026-06-21 08:13:00,2026-06-21 15:33:00,Working,Good,2,7,7,1,72.0
Lagos,PU_2675,2026-03-28,1189,963,852,29,2026-06-21 08:34:00,2026-06-21 16:22:00,Working,Poor,0,5,4,1,53.0
Kaduna,PU_2676,2026-03-28,961,616,574,43,2026-06-21 08:25:00,2026-06-21 15:00:00,Working,Good,2,5,3,1,105.0
Kaduna,PU_2677,2026-03-28,600,493,427,18,2026-06-21 08:03:00,2026-06-21 16:41:00,Working,Poor,1,9,9,1,78.0
Kaduna,PU_2678,2026-03-28,1191,1086,1063,5,2026-06-21 09:05:00,2026-06-21 15:36:00,Faulty,Good,1,7,6,1,130.0
Kaduna,PU_2679,2026-03-28,1483,1284,1112,40,2026-06-21 08:00:00,2026-06-21 16:07:00,Faulty,Good,0,9,8,1,178.0
Abuja,PU_2680,2026-03-28,1984,1641,1407,15,2026-06-21 09:53:00,2026-06-21 16:10:00,Working,Good,2,7,5,0,
Rivers,PU_2681,2026-03-28,1268,1132,1052,18,2026-06-21 08:01:00,2026-06-21 16:06:00,Working,Good,1,7,7,1,138.0
Rivers,PU_2682,2026-03-28,767,656,597,25,2026-06-21 08:53:00,2026-06-21 16:17:00,Faulty,Good,1,7,6,1,131.0
Abuja,PU_2683,2026-03-28,1382,1085,1023,14,2026-06-21 08:03:00,2026-06-21 15:57:00,Working,Good,0,8,8,1,4.0
Kano,PU_2684,2026-03-28,1885,1474,1277,33,2026-06-21 09:33:00,2026-06-21 15:15:00,Working,Good,0,9,8,0,
Kano,PU_2685,2026-03-28,907,578,518,13,2026-06-21 09:07:00,2026-06-21 16:31:00,Working,Good,0,9,7,0,
Kaduna,PU_2686,2026-03-28,1560,1173,1073,49,2026-06-21 08:19:00,2026-06-21 16:03:00,Faulty,Good,2,9,7,1,30.0
Lagos,PU_2687,2026-03-28,967,757,687,4,2026-06-21 09:40:00,2026-06-21 15:27:00,Faulty,Good,0,7,5,1,157.0
Kano,PU_2688,2026-03-28,758,579,536,37,2026-06-21 09:12:00,2026-06-21 16:09:00,Working,Poor,0,8,8,0,
Lagos,PU_2689,2026-03-28,1008,878,757,19,2026-06-21 09:02:00,2026-06-21 15:27:00,Working,Offline,1,5,3,0,
Rivers,PU_2690,2026-03-28,808,530,485,37,2026-06-21 09:26:00,2026-06-21 15:17:00,Faulty,Good,2,6,4,1,65.0
Lagos,PU_2691,2026-03-28,1796,1577,1454,11,2026-06-21 08:27:00,2026-06-21 16:21:00,Working,Poor,0,6,5,1,29.0
Rivers,PU_2692,2026-03-28,1124,966,931,36,2026-06-21 09:35:00,2026-06-21 15:42:00,Working,Good,1,5,3,1,4.0
Abuja,PU_2693,2026-03-28,609,557,514,6,2026-06-21 08:20:00,2026-06-21 16:18:00,Working,Good,0,9,7,1,128.0
Abuja,PU_2694,2026-03-28,1178,860,792,33,2026-06-21 09:36:00,2026-06-21 15:13:00,Working,Poor,0,8,7,1,167.0
Kaduna,PU_2695,2026-03-28,1783,1179,1126,31,2026-06-21 08:38:00,2026-06-21 15:21:00,Faulty,Good,1,5,5,1,85.0
Kano,PU_2696,2026-03-28,1241,1074,921,8,2026-06-21 08:45:00,2026-06-21 15:13:00,Working,Poor,1,8,6,1,123.0
Kaduna,PU_2697,2026-03-28,1406,1133,1058,36,2026-06-21 08:56:00,2026-06-21 15:18:00,Working,Good,1,9,9,0,
Rivers,PU_2698,2026-03-28,767,651,622,8,2026-06-21 09:30:00,2026-06-21 16:33:00,Faulty,Good,1,7,7,1,119.0
Kaduna,PU_2699,2026-03-28,1555,1475,1271,18,2026-06-21 08:06:00,2026-06-21 15:18:00,Working,Good,0,6,6,1,147.0
Lagos,PU_2700,2026-03-28,1439,961,918,38,2026-06-21 09:47:00,2026-06-21 15:38:00,Working,Poor,0,7,6,0,
Rivers,PU_2701,2026-03-28,1310,974,927,11,2026-06-21 08:18:00,2026-06-21 15:32:00,Working,Good,1,9,8,1,177.0
Abuja,PU_2702,2026-03-28,1700,1134,964,7,2026-06-21 08:04:00,2026-06-21 15:37:00,Working,Good,1,5,5,1,138.0
Kano,PU_2703,2026-03-28,603,543,478,11,2026-06-21 09:11:00,2026-06-21 15:31:00,Faulty,Good,0,5,5,1,108.0
Rivers,PU_2704,2026-03-28,1759,1065,926,36,2026-06-21 08:54:00,2026-06-21 15:13:00,Working,Offline,0,6,6,1,157.0
Rivers,PU_2705,2026-03-28,1616,1046,958,15,2026-06-21 09:35:00,2026-06-21 16:37:00,Working,Good,1,7,5,1,140.0
Lagos,PU_2706,2026-03-28,700,480,465,40,2026-06-21 08:44:00,2026-06-21 15:22:00,Faulty,Good,0,6,5,0,
Kano,PU_2707,2026-03-28,1398,1216,1128,2,2026-06-21 09:40:00,2026-06-21 16:37:00,Working,Poor,2,7,7,1,71.0
Abuja,PU_2708,2026-03-28,1242,1018,944,7,2026-06-21 09:50:00,2026-06-21 16:22:00,Working,Good,2,9,8,1,87.0
Rivers,PU_2709,2026-03-28,1424,1048,907,10,2026-06-21 09:33:00,2026-06-21 16:28:00,Working,Good,1,7,7,1,98.0
Rivers,PU_2710,2026-03-28,1096,718,672,17,2026-06-21 08:40:00,2026-06-21 15:25:00,Faulty,Good,1,5,4,1,142.0
Lagos,PU_2711,2026-03-28,1558,1110,1071,9,2026-06-21 08:41:00,2026-06-21 16:25:00,Working,Good,1,9,8,0,
Kaduna,PU_2712,2026-03-28,1640,1410,1277,32,2026-06-21 08:31:00,2026-06-21 16:14:00,Working,Offline,1,8,6,1,128.0
Abuja,PU_2713,2026-03-28,1187,870,816,14,2026-06-21 08:45:00,2026-06-21 15:49:00,Working,Poor,0,5,3,1,101.0
Kano,PU_2714,2026-03-28,1981,1509,1340,22,2026-06-21 08:03:00,2026-06-21 16:34:00,Working,Poor,3,6,4,1,77.0
Rivers,PU_2715,2026-03-28,1994,1621,1434,41,2026-06-21 09:42:00,2026-06-21 16:44:00,Working,Offline,1,6,4,0,
Rivers,PU_2716,2026-03-28,1419,1304,1139,11,2026-06-21 08:05:00,2026-06-21 16:08:00,Working,Poor,3,6,4,1,48.0
Abuja,PU_2717,2026-03-28,1287,884,779,27,2026-06-21 09:06:00,2026-06-21 16:57:00,Working,Good,0,9,7,1,163.0
Kaduna,PU_2718,2026-03-28,898,679,607,2,2026-06-21 08:01:00,2026-06-21 16:47:00,Working,Good,1,7,6,1,58.0
Rivers,PU_2719,2026-03-28,1096,776,716,0,2026-06-21 08:20:00,2026-06-21 16:34:00,Working,Good,2,6,4,1,77.0
Abuja,PU_2720,2026-03-28,616,470,447,34,2026-06-21 09:33:00,2026-06-21 15:54:00,Faulty,Good,1,5,4,0,
Lagos,PU_2721,2026-03-28,861,726,644,0,2026-06-21 09:30:00,2026-06-21 16:06:00,Working,Offline,0,7,6,1,63.0
Kaduna,PU_2722,2026-03-28,703,540,470,35,2026-06-21 09:58:00,2026-06-21 15:19:00,Faulty,Good,3,8,8,1,139.0
Kano,PU_2723,2026-03-28,1669,1488,1351,29,2026-06-21 08:13:00,2026-06-21 15:55:00,Working,Offline,1,8,8,1,6.0
Rivers,PU_2724,2026-03-28,943,748,712,29,2026-06-21 09:48:00,2026-06-21 15:14:00,Working,Good,1,7,6,1,62.0
Abuja,PU_2725,2026-03-28,1226,901,811,9,2026-06-21 08:28:00,2026-06-21 15:58:00,Working,Good,0,9,8,1,26.0
Lagos,PU_2726,2026-03-28,1360,1188,1150,46,2026-06-21 08:15:00,2026-06-21 15:56:00,Working,Good,1,8,6,1,48.0
Kano,PU_2727,2026-03-28,1820,1366,1205,40,2026-06-21 09:48:00,2026-06-21 15:30:00,Working,Good,2,7,7,1,74.0
Abuja,PU_2728,2026-03-28,1367,1066,1011,13,2026-06-21 09:52:00,2026-06-21 16:08:00,Faulty,Good,1,9,9,1,117.0
Abuja,PU_2729,2026-03-28,1266,1200,1092,48,2026-06-21 09:47:00,2026-06-21 15:13:00,Faulty,Offline,0,9,7,1,67.0
Kano,PU_2730,2026-03-28,1754,1535,1326,23,2026-06-21 08:49:00,2026-06-21 15:21:00,Working,Good,1,8,8,1,157.0
Lagos,PU_2731,2026-03-28,1726,1552,1375,19,2026-06-21 09:52:00,2026-06-21 15:46:00,Working,Offline,0,6,6,0,
Lagos,PU_2732,2026-03-28,861,695,668,19,2026-06-21 08:03:00,2026-06-21 16:22:00,Working,Offline,1,7,5,1,33.0
Kaduna,PU_2733,2026-03-28,894,645,548,32,2026-06-21 09:17:00,2026-06-21 16:45:00,Working,Good,5,7,5,1,118.0
Rivers,PU_2734,2026-03-28,747,707,670,11,2026-06-21 08:56:00,2026-06-21 16:45:00,Working,Good,1,6,5,1,60.0
Kano,PU_2735,2026-03-28,1963,1345,1285,4,2026-06-21 08:15:00,2026-06-21 15:41:00,Working,Good,1,8,8,1,8.0
Kano,PU_2736,2026-03-28,1413,1279,1107,22,2026-06-21 08:10:00,2026-06-21 16:10:00,Working,Good,1,7,7,0,
Kano,PU_2737,2026-03-28,1919,1763,1719,15,2026-06-21 09:02:00,2026-06-21 16:59:00,Working,Good,0,8,8,1,65.0
Lagos,PU_2738,2026-03-28,1260,1116,1075,40,2026-06-21 09:34:00,2026-06-21 16:57:00,Faulty,Good,1,9,8,1,88.0
Rivers,PU_2739,2026-03-28,1155,739,645,45,2026-06-21 08:55:00,2026-06-21 16:00:00,Working,Good,0,9,9,0,
Kaduna,PU_2740,2026-03-28,855,768,676,26,2026-06-21 09:39:00,2026-06-21 15:04:00,Working,Poor,0,9,7,1,1.0
Abuja,PU_2741,2026-03-28,1924,1601,1531,8,2026-06-21 08:28:00,2026-06-21 15:23:00,Working,Good,0,7,7,0,
Abuja,PU_2742,2026-03-28,740,620,571,13,2026-06-21 09:13:00,2026-06-21 15:13:00,Working,Good,2,6,6,1,85.0
Kano,PU_2743,2026-03-28,1864,1631,1581,28,2026-06-21 08:46:00,2026-06-21 16:21:00,Faulty,Good,0,7,5,1,101.0
Rivers,PU_2744,2026-03-28,728,561,548,13,2026-06-21 08:37:00,2026-06-21 15:47:00,Working,Good,1,7,7,1,5.0
Lagos,PU_2745,2026-03-28,1120,776,694,30,2026-06-21 09:47:00,2026-06-21 15:14:00,Working,Good,1,7,5,1,129.0
Rivers,PU_2746,2026-03-28,1430,1145,987,6,2026-06-21 08:37:00,2026-06-21 15:27:00,Working,Poor,0,6,5,1,144.0
Rivers,PU_2747,2026-03-28,1354,863,812,40,2026-06-21 09:31:00,2026-06-21 15:32:00,Working,Good,2,5,4,0,
Lagos,PU_2748,2026-03-28,1028,859,833,43,2026-06-21 09:38:00,2026-06-21 16:39:00,Faulty,Good,0,6,4,1,177.0
Kano,PU_2749,2026-03-28,766,589,513,8,2026-06-21 09:36:00,2026-06-21 15:46:00,Working,Good,1,7,6,0,
Rivers,PU_2750,2026-03-28,1652,1281,1252,13,2026-06-21 09:34:00,2026-06-21 15:50:00,Working,Poor,2,8,7,1,127.0
Abuja,PU_2751,2026-03-28,719,478,418,18,2026-06-21 09:11:00,2026-06-21 16:24:00,Working,Good,0,5,5,1,92.0
Lagos,PU_2752,2026-03-28,1605,986,849,33,2026-06-21 09:34:00,2026-06-21 15:55:00,Working,Good,2,9,7,1,53.0
Kaduna,PU_2753,2026-03-28,1060,862,788,9,2026-06-21 09:51:00,2026-06-21 16:20:00,Working,Offline,3,9,8,1,78.0
Kano,PU_2754,2026-03-28,1543,1281,1223,46,2026-06-21 08:53:00,2026-06-21 16:05:00,Working,Good,2,6,4,1,151.0
Lagos,PU_2755,2026-03-28,1850,1432,1283,15,2026-06-21 09:08:00,2026-06-21 15:53:00,Working,Poor,3,5,5,1,157.0
Kaduna,PU_2756,2026-03-28,1560,1354,1209,46,2026-06-21 09:42:00,2026-06-21 15:00:00,Working,Good,0,5,5,1,111.0
Kaduna,PU_2757,2026-03-28,881,702,614,36,2026-06-21 09:41:00,2026-06-21 15:12:00,Working,Good,1,7,5,1,4.0
Rivers,PU_2758,2026-03-28,538,482,471,22,2026-06-21 09:59:00,2026-06-21 16:19:00,Working,Offline,1,8,8,1,97.0
Rivers,PU_2759,2026-03-28,1632,1143,1022,36,2026-06-21 09:24:00,2026-06-21 15:54:00,Working,Offline,3,8,7,1,84.0
Rivers,PU_2760,2026-03-28,928,635,594,30,2026-06-21 09:46:00,2026-06-21 16:40:00,Working,Good,1,6,6,1,133.0
Lagos,PU_2761,2026-03-28,1587,1097,951,1,2026-06-21 08:24:00,2026-06-21 16:18:00,Working,Good,0,5,4,1,130.0
Lagos,PU_2762,2026-03-28,1698,1036,941,21,2026-06-21 09:45:00,2026-06-21 16:42:00,Working,Poor,0,9,7,1,15.0
Kano,PU_2763,2026-03-28,1290,1180,1125,41,2026-06-21 08:08:00,2026-06-21 15:43:00,Working,Good,0,5,5,0,
Rivers,PU_2764,2026-03-28,531,504,491,3,2026-06-21 08:20:00,2026-06-21 16:23:00,Working,Good,3,9,8,1,18.0
Kaduna,PU_2765,2026-03-28,1444,1279,1116,32,2026-06-21 08:54:00,2026-06-21 15:53:00,Working,Good,1,5,3,0,
Abuja,PU_2766,2026-03-28,1030,766,660,21,2026-06-21 09:05:00,2026-06-21 16:53:00,Working,Good,0,8,8,1,31.0
Kano,PU_2767,2026-03-28,605,437,427,30,2026-06-21 09:40:00,2026-06-21 16:17:00,Working,Poor,0,7,6,1,124.0
Lagos,PU_2768,2026-03-28,981,854,787,11,2026-06-21 09:09:00,2026-06-21 16:06:00,Working,Good,0,7,6,1,58.0
Kano,PU_2769,2026-03-28,705,548,490,32,2026-06-21 08:19:00,2026-06-21 16:18:00,Working,Good,1,6,6,0,
Kano,PU_2770,2026-03-28,1770,1643,1601,19,2026-06-21 09:16:00,2026-06-21 16:47:00,Working,Good,2,6,4,1,108.0
Kano,PU_2771,2026-03-28,1334,930,837,40,2026-06-21 09:17:00,2026-06-21 15:48:00,Working,Good,0,8,8,1,168.0
Kano,PU_2772,2026-03-28,588,419,368,8,2026-06-21 08:02:00,2026-06-21 16:09:00,Faulty,Poor,0,5,3,0,
Abuja,PU_2773,2026-03-28,1839,1746,1666,47,2026-06-21 09:47:00,2026-06-21 15:08:00,Working,Good,0,7,5,1,165.0
Rivers,PU_2774,2026-03-28,1534,1445,1287,22,2026-06-21 09:44:00,2026-06-21 15:42:00,Working,Good,0,7,6,1,60.0
Kaduna,PU_2775,2026-03-28,1572,1430,1275,32,2026-06-21 08:43:00,2026-06-21 16:48:00,Working,Poor,0,5,4,1,117.0
Kano,PU_2776,2026-03-28,1395,1034,938,18,2026-06-21 09:57:00,2026-06-21 16:04:00,Working,Poor,3,7,5,1,56.0
